"LSOA11CD","imd_rank","imd_score","income","employment","education","health","crime","housing","living_env","idaci","idaopi"
"E01033657",3419,44,0.2,0.12,38.32,2.02,0.94,40.63,50.79,0.4,0.63
"E01033658",12041,22.99,0.04,0.05,13.65,0.68,0.44,34.1,74.41,0.05,0.16
"E01033659",10895,24.95,0.02,0.02,8.88,0.92,1.35,26.75,82.86,0.06,0.47
"E01033660",12997,21.6,0.01,0.01,4.2,0.78,0.41,38,72.48,0.12,0.22
"E01033661",9703,27.03,0.1,0.05,7.96,1.65,0.63,29.99,57.42,0.09,0.6
"E01033662",9725,26.98,0.06,0.06,10.98,0.91,1.12,33.24,68.71,0.36,0.29
"E01033663",8983,28.35,0.09,0.07,26.65,1.51,0.93,23.92,49.18,0.29,0.49
"E01033664",8280,29.91,0.01,0.01,24.72,0.97,1.5,35.04,86.69,0.07,0.2
"E01033665",6431,34.24,0.13,0.09,27.23,1.44,0.45,36.84,64.39,0.3,0.53
"E01033666",1086,58.34,0.35,0.29,35.57,1.97,1.54,19.34,44.89,0.38,0.38
"E01033667",5672,36.28,0.09,0.08,6.16,1.47,2.26,31.97,85.54,0.17,0.36
"E01033668",5970,35.47,0.22,0.13,24.44,1.7,0.37,35.37,28.89,0.43,0.47
"E01033669",407,67.29,0.41,0.32,55.92,2.32,1.31,28.59,25.87,0.52,0.43
"E01033670",17063,16.65,0.02,0.02,21.16,0.65,-0.78,30.18,51.78,0.08,0.17
"E01033671",18000,15.63,0.04,0.03,20.19,0.78,0.6,16.28,35.74,0.08,0.23
"E01033672",1078,58.43,0.38,0.28,30.65,1.84,1.35,29.04,39.94,0.54,0.56
"E01033673",13137,21.43,0.01,0.01,12.83,0.82,-0.75,38.77,77.51,0.1,0.21
"E01033674",2980,46,0.19,0.11,43.89,1.75,1.3,40.07,62.15,0.44,0.61
"E01033675",5537,36.72,0.25,0.16,33.51,1.07,0.99,30.76,22.04,0.3,0.39
"E01033676",335,68.73,0.44,0.34,48.55,2.15,1.27,35.17,21.93,0.45,0.56
"E01033677",13579,20.85,0.01,0.01,15.45,0.52,0.85,31.2,63.32,0.06,0.13
"E01033678",280,69.65,0.42,0.32,71.79,2.04,1.45,32.13,16.23,0.51,0.47
"E01033679",32,80.03,0.51,0.42,75.92,2.7,1.56,29.87,20.54,0.47,0.66
"E01033680",5964,35.48,0.22,0.18,23.83,1.27,0.57,25.87,38.28,0.24,0.38
"E01033681",20221,13.46,0.01,0.01,8.93,0.16,-0.45,33.68,47.07,0.05,0.14
"E01033682",15220,18.82,0.01,0.02,19.81,0.22,0.09,31.76,66.88,0.06,0.09
"E01033683",8221,30.05,0.01,0.01,33.6,0.77,1.48,36.99,73.04,0.05,0.24
"E01033684",13500,20.96,0.02,0.02,2.16,1.19,0.02,29.45,78.81,0.13,0.34
"E01033685",13218,21.32,0.13,0.12,13.69,0.85,0.01,21.57,22.98,0.16,0.23
"E01033686",5146,37.97,0.23,0.19,6.87,1.64,0.86,22.7,45.46,0.21,0.46
"E01033687",3087,45.49,0.26,0.25,36.13,1.97,0.34,24.96,30.7,0.21,0.44
"E01033688",247,70.73,0.43,0.32,56.56,2.8,1.81,30.2,20.97,0.52,0.6
